id,type,group1,group2,date,description
1439,all,5,1,2014-06-10,The IAI fought with IS to take Mosul in June 2014.
1441,riv,75,143,2015-04-17,Asa'ib Ahl al-Haq claimed responsibility for killing JRTN leader Izzat Ibrihim al-Douri in the mountains in between Kirkuk and Tikrit.
23,mer,1,15,2006-10-01,"In October 2006, under new leadership after al-Zarqawi\&#039;s June death, AQI announces the formation of the Islamic State of Iraq, declaring sovereignty in Iraq.  The ISI incorporates MSC groups, among others, that have agreed to merge under the banner of the ISI; AQI is said to be the ISI\&#039;s military wing, though the ISI is largely AQI in new, state-like, wrapping."
1639,riv,99,109,1991-00-00,"ASWJ formed in response to AIAI and other anti-Sufi militant groups. Initially, ASWJ relied on non-violent tactics such as preaching and community organizing to oppose groups like AIAI. Later, ASWJ took up arms against those organizations."
303,all,1,13,2003-00-00,"An AI spokesman named Zarqawi, the founder of AQI, as one of AI's earliest allies."
301,riv,17,81,2007-01-01,Former Fatah al-Islam leader Al Abssi attacked Hezbollah for relinquishing the fight against Israel and merely focusing on controlling Lebanon.Â Fatah al-Islam saw Hezbollahâ€™s aggressive campaigns as a threat to Sunni control in Lebanon.
41,spl,13,11,2007-01-01,"Several members of Ansar al-Sunna split from the main group to align with the Islamic Army of Iraq and Mujahideen Army, both groups with that advocate a nationalist-jihadist agenda."
309,spl,9,29,2007-04-00,"Following the assassination of 1920s RB leader Harith al-Dari by AQI operatives in early March 2007, two factions arose within the 1920s RB that differed in their visions for the organization's relations with AQI.  While one faction wanted to directly confront AQI, the other preferred to continue armed opposition to the U.S. and take a more rhetorical approach to opposing AQI. This latter faction broke away in late March/early April 2007 and renamed itself Hamas Iraq."
1351,spl,585,583,2001-01-00,"The IUMK fragmented in 2001 when a large number of its members split off with Ali Bapir to form the Kurdistan Islamic Group and with Mullah Krekar to form the Reformist Group. Omar Barziani subsequently re-formed Kurdish Hamas with his followers, leaving Ali Abdul Aziz to re-form the IMK from the remaining members of the IUMK."
1353,mer,31,593,2001-09-00,The Al-Tawhid Islamic Front and the Second Soran Unit merged in September 2001 to form Jund al-Islam.
311,riv,1,29,2007-10-00,Hamas Iraq allegedly worked with U.S. forces and the U.S.-funded Sons of Iraq in their 2007-2008 offensive against AQI in the Diyala province.
293,aff,21,19,2009-00-00,The merger of AQY and Saudi members of Al Qaeda into AQAP was acknowledged and condoned by AQ's central leadership.  AQAP has remained loyal to AQ central leadership and remains an affiliate of the larger Al Qaeda network.
297,all,1,23,2003-10-01,AQY-associated militants traveled to Iraq to assist AQI in its fight against the U.S.-coalition forces. 
1851,riv,651,533,2016-04-00,"Faylaq al-Rahman began fighting Jaysh al-Islam after Jaysh al-Islam allegedly attempted to assassinate a member of the Unified Judiciary Council, the court system that settles disputes between militant groups and between civilians in the Damascus governorate."
299,aff,17,21,2006-11-01,"The connection between Fatah al-Islam and AQ stems from the groupâ€™s first leader and founder, Shaker Al Abssi. Abssi had previously conspired with Abu Masab Al-Zarqawi (former AQI leader).  A statement was released online by Global lslamic Media Front on behalf of Al-Qaeda leadership calling for â€œevery Muslimâ€ to support Fatah al-Islam in confronting Israel as part of their religious obligation."
1339,spl,585,577,2001-01-00,
1341,spl,585,573,2001-01-00,
1343,spl,585,573,2001-01-00,"The IUMK fragmented in 2001 when a large number of its members split off with Ali Bapir to form the Kurdistan Islamic Group and with Mullah Krekar to form the Reformist Group. Omar Barziani subsequently re-formed Kurdish Hamas with his followers, leaving Ali Abdul Aziz to re-form the IMK from the remaining members of the IUMK."
267,riv,3,1,2008-00-00,An AQI leader accused the MA of instructing its members to kill AQI operatives and of joining the U.S.-aligned Awakening Councils that were fighting AQI.
263,all,13,21,2002-01-01,Ansar al-Islam provided Al Qaeda operatives sanctuary after they fled Afghanistan in late 2001 following the U.S. invasion.
265,aff,1,21,2004-10-00,"In October 2004, Abu Mus'ab al-Zarqawi came to an agreement with Osama bin Laden and formally joined Al Qaeda, renaming his organization Tanzim Qaidat al-Jihad fi Bilad al-Rafidayn, known as Al Qaeda in Iraq (AQI) in English."
71,riv,39,77,1987-02-01,Fatah and Hamas rivals.
73,riv,39,47,1967-03-01,Fatah and PFLP rivals.
75,all,39,47,1977-01-01,Fatah and PFLP allies.
77,riv,39,71,1979-01-01,Fatah and PIJ rivals.
79,riv,39,53,1968-01-01,Fatah and PFLP-GC Rivals
81,spl,39,55,1970-06-01,Force 17 splits from Fatah
83,spl,39,73,1984-01-01,Hawari Group splits from Fatah
85,spl,39,79,1987-01-01,Fatah Hawks split from Fatah.
87,spl,39,81,1970-01-01,BSO splits from Fatah
89,spl,39,89,2000-01-01,AAMB splits from Fatah
91,spl,39,91,2000-06-01,PRC splits from Fatah
93,spl,39,85,1993-01-01,AARB splits from Fatah.
95,spl,39,99,2006-01-01,SAGB splits from Fatah.
129,spl,39,87,1995-01-01,Tanzim splits from Fatah.
99,spl,39,83,1988-01-01,Black Panthers split from Fatah
101,spl,39,51,1967-01-01,PSF splits from Fatah
103,aff,39,81,1970-08-01,Fatah and BSO affiliates
105,spl,81,59,1973-12-31,ANO splits from BSO
107,all,83,79,1994-01-01,Black Panthers and Fatah Hawks allies
109,all,83,77,1994-01-01,Black Panthers and Hamas allies.
111,riv,55,71,1979-02-01,Force 17 and PIJ rivals.
113,riv,55,77,1987-01-01,Force 17 and Hamas rivals.
117,all,55,79,1987-01-01,Force 17 and Fatah Hawks allies.
119,mer,79,87,1995-01-01,"Fatah Hawks were disbanded under the Oslo accords in 1995, Tanzim replaced them"
329,all,141,109,2010-02-01,"February 2010 ASWJ signed an alliance agreement with the TFG, however clear dissonance emerged.  
"
123,all,85,77,1993-01-01,AARB and Hamas allies.
125,riv,77,87,1995-06-01,Hamas and Tanzim rivals.
661,aff,89,87,1967-00-00,"Due to their similar ideologies, The FARC and ELN relationship fluctuates between an alliance and rivalry. However, the net result is an affiliation that includes shared members and tactics. "
131,all,87,55,1996-01-01,Tanzim and Force 17 allies.
135,riv,89,77,2000-08-01,AAMB and Hamas rivals.
137,riv,89,71,2000-09-01,AAMB and PIJ rivals.
139,all,89,77,2003-01-01,AAMB and Hamas allies.
141,all,89,71,2003-01-01,AAMB and PIJ allies.
145,all,99,85,2006-02-01,SAGB and AARB allie
147,all,99,89,2006-01-01,SAGB and AAMB allies
149,all,99,71,2006-05-01,SAGB and PIJ allies.
151,all,99,91,2006-04-01,SAGB and PRC allies.
153,riv,39,59,1975-01-01,Fatah and ANO rivals
155,aff,91,77,2000-06-01,PRC and Hamas affiliated
159,all,77,47,1987-03-01,Hamas and PFLP allies
161,all,77,83,1988-01-01,Hamas and Black Panthers allies.
163,all,77,91,2001-02-01,Hamas and PRC allies.
165,all,77,71,1988-02-01,Hamas and PIJ allies.
167,mer,77,95,2002-01-01,Members of Hamas merge with members of Fatah to form Saladin Brigades.
169,spl,53,69,1977-01-01,PLF splits from PFLP-GC.
1637,riv,61,489,2011-10-20,"Assisted by Kenyan forces, the Ras Kamboni Movement captured the town of Ras Kamboni in southern Somalia, driving Al Shabaab from the area."
173,spl,61,67,1979-01-01,LARF splits from PFLP-EO after Waddie Haddad died
175,riv,63,47,1978-01-01,PFLP and PFLP-GC rivals
177,riv,63,53,1978-01-01,PFLP-GC and PFLP-SC rivals.
179,riv,57,77,1987-05-01,DFLP and Hamas rivals.
181,riv,57,71,1979-03-01,DFLP and PIJ rivals.
183,riv,57,53,1969-01-01,DFLP and PFLP-GC rivals
185,riv,47,57,1976-02-01,DFLP and PFLP rivals.
187,all,47,57,2000-01-01,PFLP and DFLP allies
189,aff,47,75,1987-01-01,PFLP and Red Eagles allies.
191,aff,39,47,1976-02-01,Fatah and PFLP Rivals
199,spl,49,69,1977-01-01,PLF splits from PLA.
197,mer,43,47,1967-00-00,PLF merges into PLFP
201,aff,77,55,2000-01-01,Hamas and Force 17/GSS affiliates
203,aff,55,71,2000-03-01,Force 17 and PIJ Affiliates
205,all,81,47,1970-00-00,BSO and PFLP allies.
207,all,55,71,2001-01-01,Force 17 (GSS) and PIJ allies.
209,all,55,77,2001-03-01,Force 17 (GSS) and Hamas allies.
211,spl,39,97,2005-00-00,Knights of the Tempest split from Fatah.
213,all,39,97,2005-03-01,Fatah and Knights of the Tempest allies.
215,aff,39,75,2001-05-00,Red Eagles (Martyr Abu-Alu Mustafa Brigades) and Fatah affiliates.
217,all,77,75,2001-07-00,Red Eagles (Martyr Abu-Alu Mustafa Brigades) and Hamas allies.
219,riv,39,51,1967-05-00,PSF and Fatah rivals
223,all,89,71,2002-05-01,AAMB and PIJ allies.
225,all,89,77,2002-03-01,AAMB And Hamas allies.
227,aff,39,99,2006-03-01,SAGB and Fatah affiliates.
229,aff,75,91,2001-09-00,Red Eagles (Mujahadi Bayt al-Maqdis Brigades) and PRC affiliates.
259,spl,25,31,1998-00-00,The SSU split from the IMK in 1998 under the leadership of Aso Hawleri in response to the IMK’s 1997 truce with the Patriotic Union of Kurdistan (PUK) and the SSU’s perception that Iranian influence over the IMK leadership was increasing
1459,mer,573,27,2001-06-00,Kurdish Hamas and Tawhid merged in summer 2001 to form the Al-Tawhid Islamic Front.
1395,riv,587,25,1993-12-00,"Violent clashes between the PUK and IMK erupted in December 1993 in the Kirkuk and Sulaimaniya provinces, resulting in the withdrawal of the IMK from the region."
1485,mer,13,1,2014-08-29,"On August 29, 2014, 50 of AI’s top leaders declared their allegiance to IS and officially merged AI into IS.  AI’s Syrian branch, however, rejected the merger and continued to oppose IS. It still remains unclear what precipitated AI’s sudden decision to switch from actively opposing IS to joining its ranks."
271,all,81,57,2003-04-01,"The Mahdi Army has been tied to Hezbollah since its inception. In April 2003, the initial members of the Army were trained by small Hezbollah groups inside Iraq."
1397,riv,587,25,1993-12-00,"Violent clashes between the PUK and IMK erupted in December 1993 in the Kirkuk and Sulaimaniya provinces, resulting in the withdrawal of the IMK from the region."
253,spl,67,69,1998-09-14,Members of the GIA who disagreed with the group\'s targeting of Algerian civilians decided to split and form the Salafist Group for Preaching and Combat (GSPC)
255,mer,69,65,2006-09-11,The GSPC merges with Al Qaeda Central to form Al Qaeda in the Islamic Maghreb. The group retains its leadership.
1399,riv,587,25,1993-12-00,"Violent clashes between the PUK and IMK erupted in December 1993 in the Kirkuk and Sulaimaniya provinces, resulting in the withdrawal of the IMK from the region."
341,riv,57,1,2007-06-08,"Following the Mahdi Army's campaign to take control of the west bank of the Tigris, AQI issued a statement calling for all Sunnis to help fight against the Mahdi Army."
1615,spl,107,61,2006-12-00,"Al Shabaab, which had served as the main militant wing of the Islamic Courts Union (ICU), became an independent group as the ICU began to collapse."
1617,all,61,487,2008-08-20,The Ras Kamboni Brigade and Al Shabaab conducted a joint attack on the Somali city of Kismayo.
343,aff,145,117,2000-04-01,UTN and ART are affiliates. UTN\'s declared goal was reconstruction of Afghanistan for which ART was to provide the group with funds.
349,aff,117,79,1997-02-01,ART and LeT affiliates. 
347,all,117,21,1996-02-01,ART and AQ allies. ART publicly became associated with Al Qaeda when it started using a British internet site called the Global Jihad Fund (which openly associated itself with Osama bin Laden) to solicit support for various jihad movements.  
351,aff,117,95,2000-04-01,ART and JeM affiliates. ART and JeM are reported to have shared office spaces across Pakistan and to have had overlapping membership support.
353,mer,117,111,2001-00-00,ART merges into AKT
355,all,111,95,2001-00-00,"AKT and JeM allies. AKT has had an alliance with JeM because of overlapping leaderships. Maulana Masood Azhar, leader of JeM, played a role in the formation of AKT."
357,all,117,95,2000-08-01,ART has had an alliance with JeM because of overlapping leaderships. 
359,all,95,79,2000-11-01,LeT and JeM were allies in operations across the Line of Control against Indian targets. 
361,all,21,79,1990-00-00,"LeT has had an affiliation with Al Qaeda and its forerunner, Maktab al Khidmat, since 1990s. LeT\'s alliance with AQ was reconfirmed in 2002, when senior Al Qaeda leader Abu Zubaydah was arrested from an LeT safehouse in Faisalabad. "
363,riv,79,95,2004-00-00,LeT and JeM developed a rivalry after ISI cracked down on JeM in 2004 in the aftermath of the attack on President of Pakistan. LeT continued to receive ISI\'s support.
365,all,21,105,2008-02-01,AQ and TTP have cooperated against a whole range of targets in Pakistan. TTP has also provided shelter to the leadership of AQ in the tribal areas.
367,riv,79,105,2008-05-01,"LeT is close to the ISI and has been protected by the intelligence agency, but TTP has been actively targeted by the Pakistani state."
371,all,79,217,1990-01-01,LeT and HuJI were allied in operations across Line of Control against Indian targets.
373,all,79,219,1990-03-01,"LeT and HuM, under ISI\'s supervision, have cooperated with each other against Indian targets in Kashmir."
375,riv,105,219,2008-04-01,HuM and TTP are rivals because of HuM\'s close relationship with the ISI.
377,all,217,105,2008-01-01,HuJI and TTP are allies because of a shared ideology and common set of targets. HuJI leader Ilyas Kashmiri has spearheaded some of TTP\'s operations using resources of both TTP and HuJI.
379,aff,117,215,1996-06-01,ART has been a source of funding for LeJ.
381,all,79,223,1994-00-00,LeT and HM have both received the assistance of ISI in carrying out operations across the Line of Control.
383,aff,79,217,2000-06-01,"Saifullah Akhtar, leader of HuJI, and Hafiz Saeed, leader of LeT, have provided resources for each other\'s operations."
387,all,221,79,2002-01-01,Jamaat-ud-Dawa is a front of LeT and came into being in 2002 to protect LeT.
389,aff,111,223,2003-01-01,ART and HuM have cooperated in operations against Indian targets in Kashmir.
391,aff,111,219,2002-06-01,AKT and HuM are affiliates with AKT providing financial resources to HuM.
489,spl,317,315,1974-00-00,The Irish National Liberation Army (INLA) split from the Official Irish Republican Army (OIRA). INLA was made up of hardliners opposed to OIRA\'s declaration of a ceasefire in the wake of a bombing in England that mistakenly killed civilians and a priest. 
487,all,105,215,2009-06-00,Pakistan\'s Ministry of Interior reported LeJ\'s alliance with TTP in 2009.
397,spl,217,219,1985-00-00,HuM splinters from HuJI to fight a jihad against Soviet Communist presence in Afghanistan.
405,all,247,77,1976-00-00,"Armed Proletarian Nuclei (NAP) collaborated in Naples with the Red Brigades (BR), which otherwise had little presence in Southern Italy."
407,spl,77,233,1981-10-00,"The Red Brigades Fighting Communist Party (BR-PCC) split from the Red Brigades (BR), forming the militant core of the organization as other groups continued to split from the main branch."
409,spl,77,234,1981-08-00,"The Red Brigades Guerrilla Party (BR-PG), composed mainly of the Naples wing of the Red Brigades, split from the Red Brigades (BR), arguing that the core organization was too focused on militancy. "
411,spl,77,235,1980-06-00,"The Red Brigades Walter Alasia Column (BR-WA), the Milan branch of the Red Brigades (BR), split from the Red Brigades (BR) over ideological and personal disputes with the central leadership. The BR-WA argued that the BR had lost touch with the working class."
413,spl,233,241,1985-05-00,"The Union of Communist Combatants (UdCC) split from the Red Brigades Fighting Communist Party (BR-PCC) over ideological differences, with the UdCC embracing what it called a \""""second position.\"""" "
415,aff,230,231,1969-00-00,The October 22 Circle received financial and logistical support from the better-financed Partisan Action Groups (GAP). The October 22 Circle may have served as the Genovese branch of GAP; some scholars treat the two groups interchangeably.
417,mer,230,231,1971-00-00,Partisan Action Groups (GAP) absorbed the October 22 Circle\'s remaining membership after most of the October 22 Circle\'s members were arrested.
419,mer,231,77,1972-00-00,The Red Brigades (BR) absorbed the remaining membership of Partisan Action Groups (GAP) after GAP\'s founder and chief financier died planting an explosive.
423,mer,227,228,1976-00-00,"The leaders of New Order, National Vanguard, and National Front fled abroad and then merged their groups into Black Order after being banned under an Italian law against reconstituting the fascist party."
425,mer,229,257,1978-00-00,"The leaders of New Order, National Vanguard, and National Front fled abroad and then merged their groups into Black Order after being banned under an Italian law against reconstituting the fascist party."
427,spl,229,228,1959-12-00,
429,all,227,228,1968-00-00,"National Front, National Vanguard, and New Order collaborated on attacks, and members moved between groups."
433,all,228,229,1968-00-00,"National Vanguard (AN), National Front (FN), and New Order (ON) coordinated on attacks, and members moved between groups. Though AN had originally split from ON, the groups continued to coordinate."
435,mer,227,257,1976-00-00,"The leaders of New Order, National Vanguard, and National Front fled abroad and then merged their groups into Black Order after being banned under an Italian law against reconstituting the fascist party."
437,mer,232,137,1979-00-00,"After most of its members were arrested, the remainder of Proletarians Armed for Communism merged into the PL."
439,aff,259,239,1979-00-00,"Third Position acted as a semi-legal political wing of NAR, in addition to staging some terrorist attacks."
441,riv,259,239,1980-09-11,NAR members killed a TP leader in Rome.
443,mer,236,137,1981-07-00,"After Revolutionary Action declared its own dissolution in 1981, some of its members joined Prima Linea."
445,spl,153,77,1976-06-00,Some members of the FCA joined the Red Brigades.
447,all,275,259,1979-12-17,"Members of Let\'s Take Action (CA) and Armed Revolutionary Nuclei (NAR) staged a joint assassination attempt against a lawyer in retaliation for the imprisonment of another right-wing militant, accidentally killing a bystander instead."
449,aff,145,145,0000-00-00,
451,aff,145,145,0000-00-00,
453,aff,145,145,0000-00-00,
455,spl,137,295,1980-08-00,Nucleus of Communists split from Prima Linea at a conference in August 1980. 
457,spl,137,269,1981-04-00,Communists Organized for Proletarian Liberation (COLP) split from Prima Linea.
459,all,273,137,1978-00-00,Communist Combat Formations (FCC) and Prima Linea (PL) formed a joint national command.
461,spl,287,273,1977-00-00,Members of the Communist Brigades (BC) formed the Communist Combat Formations (FCC). 
463,spl,273,226,1979-00-00,"As Communist Combat Formations (FCC) fell apart due to arrests in May 1979, some of its members joined with members of Red Guerrilla to form the March 28 Brigade."
465,spl,273,291,1978-06-00,Members of Communist Combat Formations (FCC) split from the group to form the Communist Attack Divisions (FCA).
469,spl,287,232,1979-00-00,Some members of Communist Brigades (BC) joined Proletarians Armed for Communism (PAC) and Prima Linea (PL). PAC merged into the PL in 1979.
471,spl,153,279,1976-06-00,Some members of Armed Communist Formations (FCA) joined the Union of Communist Combatants (UCC).
473,all,283,77,1979-00-00,"Red Barbagia (BarbRo) and the Red Brigades (BR) jointly planned, but did not succeed, in liberating left-wing prisoners on the Italian island of Sardinia, where BarbRo was based. The groups continued to coordinate afterward; BarbRo guarded an arms\' cache on the BR\'s behalf, for example."
475,mer,247,77,1978-00-00,The Red Brigades (BR) absorbed the remaining assets of Armed Proletarian Nuclei (NAP) after NAP dissolved due to arrests in 1978.
477,spl,77,137,1976-00-00,Dissident members of the Red Brigades (BR) helped found Prima Linea (PL).
479,all,237,257,1973-00-00,Black Order is believed to have worked closely with Revolutionary Action Movement (MAR).
481,all,137,269,1982-01-03,Militants belonging to Communists Organized for Proletarian Liberation (COLP) and Nucleus of Communists (NdC) helped four members of Prima Linea (PL) escape from prison in Rovigo in Northern Italy.
483,all,269,295,1982-01-03,Militants belonging to Communists Organized for Proletarian Liberation (COLP) and Nucleus of Communists (NdC) helped four members of Prima Linea (PL) escape from prison in Rovigo in Northern Italy.
485,riv,105,95,2010-00-00,TTP has a rivalry with JeM owing to its closeness with the ISI.
491,riv,317,315,1977-00-00,"The Official Irish Republican Army (OIRA) sought to suppress the Irish National Liberation Army (INLA) as soon as it broke away from the main group. In 1977, OIRA killed INLA Chief of Staff Seamus Costello."
493,spl,315,313,1986-00-00,The Irish People\'s Liberation Organization (IPLO) split from the Irish National Liberation Army (INLA) as INLA became increasingly factionalized after the assassination of one of its leaders.
497,riv,323,313,1992-10-31,"The Provisional Irish Republican Army (PIRA) assassinated a leader and several other members of the Irish People\'s Liberation Organization (IPLO) to halt feuding between IPLO and the Irish National Liberation Army (INLA), and force the IPLO to stand down."
517,spl,349,323,1969-00-00,"The Provisional Irish Republican Army (PIRA) split from from the old IRA, with the former accusing the Dublin-based IRA leadership of losing sight of military priorities to pursue a failing political strategy and of failing to protect Catholics in the North from sectarian violence."
499,spl,323,319,1997-00-00,The Real Irish Republican Army (RIRA) split from the Provisional Irish Republican Army (PIRA) in protest over the PIRA\'s ceasefires and its participation in the peace process.
501,spl,323,325,1986-00-00,"The Continuity Irish Republican Army (CIRA) split from the Provisional Irish Republican Army (PIRA) after the PIRA\'s political wing dropped its longstanding opposition to its members\' participation in Irish Parliament (Dáil Éireann), which CIRA continued to view as illegitimate.  The CIRA did not become militarily active until the PIRA ceasefire of 1994. "
503,spl,325,327,2005-00-00,Óglaigh na hÉireann (ONH) split from the Continuity Irish Republican Army (CIRA).
507,spl,323,319,1997-00-00,The Real Irish Republican Army (RIRA) split from the Provisional Irish Republican Army (PIRA) in protest over PIRA\'s participation in the peace process.
509,spl,317,315,1974-00-00,The Irish National Liberation Army (INLA) split from the Official Irish Republican Army (OIRA) in protest over ceasefires OIRA had declared.
511,riv,317,315,1977-00-00,"The Official Irish Republican Army (OIRA) sought to suppress the Irish National Liberation Army (INLA) after it broke away, ultimately assassinating one of INLA\'s leaders in 1977."
515,spl,349,317,1969-00-00,"When the Provisional Irish Republican Army (PIRA) split from the IRA, the remainder of the IRA became known as the Official Irish Republican Army (OIRA)."
519,riv,317,323,1970-00-00,"The Official Irish Republican Army (OIRA) and the Provisional Irish Republican Army (PIRA) each claimed to be the legitimate representatives of the nationalist cause, and attacked one another\'s members. The worst such violence took place over two weeks in October 1975, leaving 11 dead."
523,mer,333,331,1976-00-00,The Protestant Task Force (PTF) is believed to have merged into the Ulster Volunteer Force (UVF) in the late 1970s.
525,all,331,337,1972-00-00,"The Ulster Volunteer Force (UVF) and Red Hand Commando (RHC) collaborated on weapons and operations but maintained separate command structures. The two groups moved together on major political issues, jointly declaring ceasefires, signing the same peace documents, and ultimately decommissioning their weapons in 2009."
527,spl,331,335,1996-00-00,The Ulster Volunteer Force (UVF) leadership expelled members of the mid-Ulster brigade of the UVF after the latter killed two Catholic civilians in violation of the UVF ceasefire. The mid-Ulster brigade members went on to form the Loyalist Volunteer Force (LVF).
529,mer,341,345,1971-00-00,Shankill Defense Association (SDA) merged into the Ulster Defense Association (UDA).
531,spl,345,343,1973-00-00,The Ulster Citizen Army (UCA) split from the Ulster Defense Association (UDA) over the UDA\'s right-wing politics.
533,aff,345,347,1998-00-00,There is speculation that the Red Hand Defenders was a cover name for members of the Ulster Defense Association. 
535,riv,313,315,1987-00-00,The Irish People\'s Liberation Organization (IPLO) tried to destroy the Irish National Liberation Army (INLA) and replace it as the dominant socialist paramilitary group seeking a united and independent Ireland.
537,mer,313,315,1992-10-31,Some Irish People\'s Liberation Organization (IPLO) members rejoined the Irish National Liberation Army (INLA) after the Provisional IRA (PIRA) forcibly dissolved the group.
539,riv,331,335,1996-08-02,"As a result of the LFV breaking the 1996 ceasefire agreement, fighting between the two groups broke out. "
541,riv,335,345,2002-09-00,The feud between the two groups began with the death of Stephen Warnock (LVF). Retaliatory attacks followed the infinally ended in 2002 when the LVF accepted that the UDA did not kill Warnock.
817,spl,431,73,1994-07-00,The Movement for an Islamic State (MEI) merged with other small groups to form the Islamic Salvation Army. 
793,aff,141,141,0000-00-00,"The Transitional Federal Government was formed by the international community in 2004. However, the first president Abdullahi Yusuf Ahmed did not step foot in the country until 2007 when the Islamic Courts were defeated. Yet the TFG remains weak and lacks control of Somalia due to internal divisions and the rise of extremist groups such as Hizbul Islam and Al Shabab. The TFG is not a democracy since it was created by negotiations and has failed to maintain enough security to hold elections. "
545,riv,1,5,2007-11-06,"In November 2007, 18 al-Qaeda militants and 15 Islamic Army in Iraq fighters were killed when the IAI attacked a AQI compound north of Baghdad. "
1379,all,13,75,2009-00-00,"The JRTN often contracted the 1920s Revolution Brigades, Ansar al-Islam, the Islamic Army in Iraq, Hamas Iraq, and even AQI to carry out attacks for it in the period from 2008-2011. In return the JRTN helped manage the intelligence collection, finances, and logistics of these groups."
1381,all,5,75,2009-00-00,"The JRTN often contracted the 1920s Revolution Brigades, Ansar al-Islam, the Islamic Army in Iraq, Hamas Iraq, and even AQI to carry out attacks for it in the period from 2008-2011. In return the JRTN helped manage the intelligence collection, finances, and logistics of these groups."
1383,all,29,75,2009-00-00,"The JRTN often contracted the 1920s Revolution Brigades, Ansar al-Islam, the Islamic Army in Iraq, Hamas Iraq, and even AQI to carry out attacks for it in the period from 2008-2011. In return the JRTN helped manage the intelligence collection, finances, and logistics of these groups."
1385,all,75,1,2009-00-00,"The JRTN often contracted the 1920s Revolution Brigades, Ansar al-Islam, the Islamic Army in Iraq, Hamas Iraq, and even AQI to carry out attacks for it in the period from 2008-2011. In return the JRTN helped manage the intelligence collection, finances, and logistics of these groups."
1445,riv,143,1,2014-07-07,"Asa'ib Ahl al-Haq(AAH) leader Qais Khazali told BBC News that AAH would """"vanquish ISIS."""" AAH has been actively fighting with the Iraqi government against the Islamic State (IS) since June 2014. While AAH has been very active against IS in Iraq, there have been no confirmed independent AAH attacks against IS in Syria."
553,aff,251,21,1998-09-00,"Abdullah Sungkar, a founder of JI, establishes contact with al-Qaeda's core membership following the fall of the Suharto regime in Indonesia."
555,aff,21,363,1996-00-00,"The Haqqani Network, due to their control of much of the FATA-delegated tribal regions in Northwestern Pakistan and the Southeastern parts of Afghanistan, begin to provide safe protection and a location for al-Qaeda operatives (among others) to train and initiate attacks against the West."
557,all,21,363,1991-00-00,al-Qaeda top military commanders fight alongside Haqqani Network in the battle against the communist government over Khost. The two forces fight alongside again over Najibullah in Kabul (1992).
639,aff,152,21,2004-02-27,"Abu Sayyaf member Redondo Cain Dellosa placed an 8 lb TNT bomb on SuperFerry 14, killing 116 people. ASG received support and training in preparation for the attack from al Qaeda."
561,all,21,363,2002-00-00,"Bosnian Authorities raid the offices of Abu Mahmud al-Suri, a co-founder of al-Qaeda, and discover written statements of support for the Sudanese jihad, written to al-Suri by Jalaluddin Haqqani."
563,aff,21,363,1996-00-00,Haqqani directly hosts Osama bin Laden at his home following the latter\'s expulsion from Sudan to Afghanistan.
565,aff,217,363,1991-06-00,"Haqqani Commanders support camps for training and and mobilization of Islamist militants in Pakistan, Kashmir, Northwestern China, Tajikistan, Uzbekistan, Southeast Asia and a variety of Arab countries. One of these camps served as the main training camp for Haqqani militants, and was supported by HUJI finances."
